Source,Title,Link,Tags
Krebs on Security,Data Broker Radaris Loses Domains in Privacy Fight,https://krebsonsecurity.com/2026/09/data-broker-radaris-loses-domains-in-privacy-fight/,General Cybersecurity
Krebs on Security,"Microsoft Plugs Nearly 1,000 Security Holes",https://krebsonsecurity.com/2026/09/microsoft-plugs-nearly-1000-security-holes/,"Spain ENS, Vulnerability Management"
Krebs on Security,FBI Probes Service Selling 153M+ Drivers Licenses,https://krebsonsecurity.com/2026/09/fbi-probes-service-selling-153m-drivers-licenses/,Spain ENS
Krebs on Security,Two Alleged ‘TeamPCP’ Hackers Arrested in Australia,https://krebsonsecurity.com/2026/08/two-alleged-teampcp-hackers-arrested-in-australia/,General Cybersecurity
Krebs on Security,Who’s Tracking You? Use This New Service to Find Out,https://krebsonsecurity.com/2026/08/whos-tracking-you-use-this-new-service-to-find-out/,General Cybersecurity
NCSC UK,One does not simply defend agentically,https://www.ncsc.gov.uk/blogs/one-does-not-simply-defend-agentically,General Cybersecurity
NCSC UK,Cyber Adversary Simulation (CyAS): scheme documents now available,https://www.ncsc.gov.uk/blogs/cyber-adversary-simulation-cyas-scheme-documents-now-available,General Cybersecurity
NCSC UK,Adversary simulation: what you need to know,https://www.ncsc.gov.uk/guidance/adversary-simulation-what-you-need-to-know,General Cybersecurity
NCSC UK,"UK and allies expose spyware used by Iranian state actors to target dissidents, activists and journalists",https://www.ncsc.gov.uk/news/uk-allies-expose-spyware-iranian-state-actors-target-dissidents-activists-journalists,General Cybersecurity
NCSC UK,"Iranian cyber targeting of dissidents, activists and journalists",https://www.ncsc.gov.uk/news/iranian-cyber-targeting-of-dissidents-activists-and-journalists,General Cybersecurity
ENX / TISAX Updates,Why TISAX certification matters for automakers - Cubic3,https://news.google.com/rss/articles/CBMigAFBVV95cUxPNEMxLUg3MjR5aS1GcHZJSEZQQ3ZWbVpNUURjWlVEOVBaeWV0LTl6YnF6S3FGMGpmMktOWUk0ekhWRmRHNzZxUWlMSTFkTWtHbXFEWHhURE1iSTB3LXBJbElwZUVUODNhTzVKNExhSW5GWERiN1Uzd0JBNzMwUWJQeA?oc=5,TISAX
ENX / TISAX Updates,"SRM Tech earns TISAX AL3 label, elevating automotive cybersecurity credentials - Telematics Wire",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOdGhYdnd5M2NRaHVXTHV0czJzWl9wcHhibjlOTG1hVF9ZMF9GZU53LVVEMmRyYmh5OUhxNFJ1T3AyMWtnNDFMWG5FMlBMSFA0bGhSaU9TMnZzN0I5NVdiVUVKazMwQjh3X29Sd0s5dlg5ZkhqNm10Y1RYd01TaFlpWEYwcmdzZlh4bGktdW50X2FPV190bGtOU2M5RHVDZk9ORmQ5T0ZCQmc?oc=5,TISAX
ENX / TISAX Updates,"Gevorkyan establishes defence subsidiary, G-FD - pim-international.com",https://news.google.com/rss/articles/CBMihwFBVV95cUxPb2VJeW5DQ2d2UVJDc0IyZXpvbXlLb0trSy1EWkc5OTJSc2d6d2hjMktQdUFpX2tNWnNFeWladU5MdGJoUE1mZ2tVYnZhZjhlb2FSb0tVMHpVLUZRVU5sQjR6OE4yMV9JZHBLV2EtbjNkaUdWUi1JcVRNZVJ2dXZVM2dBVHlsWXc?oc=5,General Cybersecurity
ENX / TISAX Updates,VicOne Achieves TISAX Assessment Level 3 Assuring Customers of Highest Level of Data Protection and Security Excellence in the Automotive Industry - Business Wire,https://news.google.com/rss/articles/CBMiqwJBVV95cUxQNkN6aXc4QWVrYk5MSmVnaUtHRVpkMmZKQmFrT1pKNWxuVDdFa3lSeUlfOUdCMnpJdXlVQXQ4c3d2VFRBQ2x4cjBENlg1Si1pd3BublB3SFpCbktXUWxuUzdFSFJSQjJwU0xpZTFvRGZhYUdVTUFZOWQtMkpMT2Q2c2tDTlkxbHAtbVZTSk1zSE1kZEFkb3lZb2JjRE9kZWJZRi1LalZaOVdtRVVmUFRuSkN2QWtON0lyT0ItWm9iTE1uWDl3d3FJbWF4VDZpSm1YUnIwZ0lzMlNnSFZiNzRlMWt1TzNZenZKY2o1azg4SDB1bkMwZFNZc1Vxd2M1ckpZYV9hZS0xUDRBMFhkTlZxMWlOa1FhOXJaeHZqZEJnSHZsdFNKNU4xQXdrYw?oc=5,TISAX
